,年龄,工作,婚姻状况,学历,信用违约,房贷,个人贷款,通讯类型,联系日期,联系月份,通话时间,联系次数,距离上次联系的天数,活动前联系次数,上次营销活动的结果,本次活动结果
2072,44,管理者,单身,高等教育,否,是,是,手机,15,五月,104,10,-1,0,未知,否
2073,33,蓝领,单身,中学,否,否,否,手机,6,二月,860,2,-1,0,未知,是
2074,53,技术人员,已婚,中学,否,否,是,手机,13,八月,112,2,-1,0,未知,否
2075,69,已退休,已婚,高等教育,否,否,否,手机,7,七月,112,1,78,1,失败,否
2076,46,技术人员,已婚,中学,否,是,否,未知,14,五月,32,3,-1,0,未知,否
2077,30,管理者,单身,高等教育,否,是,否,手机,17,三月,325,2,-1,0,未知,是
2078,31,个体户,单身,中学,否,否,否,手机,20,十一月,410,1,-1,0,未知,否
2079,38,管理者,离异,高等教育,否,是,否,手机,20,十一月,640,1,-1,0,未知,否
2080,34,服务业,离异,中学,否,否,否,未知,9,六月,118,1,-1,0,未知,否
2081,48,未知,已婚,未知,否,否,否,手机,30,七月,166,2,-1,0,未知,否
2082,46,蓝领,离异,小学,否,否,否,手机,2,二月,173,1,-1,0,未知,否
2083,42,行政,已婚,中学,否,是,否,未知,28,五月,21,24,-1,0,未知,否
2084,41,蓝领,已婚,中学,否,是,否,未知,14,五月,89,7,-1,0,未知,否
2085,33,蓝领,已婚,中学,否,是,否,手机,28,七月,151,3,-1,0,未知,否
2086,39,蓝领,已婚,小学,否,否,否,未知,19,六月,112,4,-1,0,未知,否
2087,27,学生,单身,中学,否,否,否,手机,30,一月,164,5,-1,0,未知,否
2088,26,管理者,单身,高等教育,否,否,否,座机,29,一月,145,2,164,1,其他,否
2089,38,管理者,单身,高等教育,否,是,否,手机,6,五月,606,3,-1,0,未知,是
2090,48,蓝领,已婚,中学,否,是,否,未知,26,五月,105,1,-1,0,未知,否
2091,54,服务业,已婚,中学,否,否,是,手机,9,七月,85,1,-1,0,未知,否
2092,51,服务业,已婚,中学,否,否,否,手机,18,七月,439,3,-1,0,未知,否
2093,47,技术人员,已婚,中学,否,否,否,未知,29,五月,278,1,-1,0,未知,否
2094,53,技术人员,已婚,中学,否,否,否,手机,13,八月,205,4,-1,0,未知,否
2095,35,蓝领,已婚,小学,否,是,否,手机,16,七月,221,1,-1,0,未知,否
2096,58,管理者,已婚,高等教育,否,是,否,座机,18,十一月,52,3,172,3,其他,否
2097,52,管理者,离异,高等教育,否,是,否,未知,12,六月,84,3,-1,0,未知,否
2098,57,已退休,已婚,中学,是,是,否,手机,15,五月,476,3,-1,0,未知,否
2099,52,管理者,已婚,高等教育,否,否,否,手机,20,十一月,371,1,-1,0,未知,否
2100,35,管理者,单身,高等教育,否,是,否,手机,17,四月,128,3,-1,0,未知,否
2101,48,技术人员,已婚,中学,否,是,否,未知,13,五月,220,2,-1,0,未知,否
2102,46,企业家,已婚,高等教育,否,否,否,座机,14,七月,44,14,-1,0,未知,否
2103,39,服务业,已婚,中学,否,是,否,未知,8,六月,30,1,404,2,成功,否
2104,38,个体户,离异,高等教育,否,否,否,手机,7,五月,330,1,342,1,失败,否
2105,34,企业家,已婚,中学,否,是,否,未知,30,八月,28,1,-1,0,未知,否
2106,47,企业家,已婚,小学,否,否,否,手机,12,五月,908,1,-1,0,未知,否
2107,35,管理者,离异,高等教育,否,否,否,手机,16,四月,177,1,-1,0,未知,否
2108,46,蓝领,离异,小学,否,是,否,未知,9,五月,113,4,-1,0,未知,否
2109,27,行政,单身,中学,否,是,否,座机,15,五月,289,8,-1,0,未知,否
2110,31,蓝领,已婚,中学,否,是,否,手机,21,七月,357,1,-1,0,未知,否
2111,31,管理者,单身,高等教育,否,否,否,手机,28,八月,38,16,-1,0,未知,否
2112,46,行政,已婚,中学,否,是,否,手机,7,八月,414,4,-1,0,未知,否
2113,31,行政,已婚,中学,否,是,否,手机,20,十一月,257,2,-1,0,未知,否
2114,33,管理者,已婚,高等教育,否,是,否,未知,19,八月,480,1,-1,0,未知,是
2115,42,保姆,已婚,小学,否,否,否,手机,20,八月,252,2,-1,0,未知,否
2116,33,管理者,单身,小学,否,是,否,未知,20,五月,151,1,-1,0,未知,否
2117,40,保姆,已婚,小学,否,否,否,手机,6,二月,213,4,-1,0,未知,否
2118,51,蓝领,已婚,小学,否,否,是,手机,27,八月,119,12,-1,0,未知,否
2119,31,没工作,已婚,高等教育,否,否,否,手机,21,十一月,161,2,-1,0,未知,否
2120,62,已退休,离异,高等教育,否,否,否,手机,13,十一月,227,2,-1,0,未知,是
2121,24,学生,单身,中学,否,是,否,座机,18,五月,12,3,374,1,其他,否
2122,48,没工作,已婚,中学,否,否,否,手机,14,一月,517,1,282,4,成功,是
2123,41,技术人员,离异,中学,否,是,否,手机,7,五月,225,2,275,2,失败,否
2124,43,管理者,已婚,高等教育,否,是,否,未知,9,五月,150,2,-1,0,未知,否
2125,52,技术人员,已婚,中学,否,否,是,手机,8,七月,89,1,-1,0,未知,否
2126,54,蓝领,已婚,小学,否,是,否,未知,9,五月,103,2,-1,0,未知,否
2127,32,技术人员,离异,高等教育,否,否,否,手机,26,五月,128,1,-1,0,未知,否
2128,38,蓝领,已婚,小学,否,是,否,手机,20,十一月,277,1,-1,0,未知,否
2129,41,行政,已婚,小学,否,是,否,未知,15,五月,500,1,-1,0,未知,是
2130,31,蓝领,单身,小学,否,是,否,座机,14,五月,113,2,-1,0,未知,否
2131,35,保姆,已婚,高等教育,否,是,否,手机,15,五月,326,5,179,4,失败,是
2132,26,行政,已婚,中学,否,否,否,未知,27,五月,755,1,-1,0,未知,否
2133,52,技术人员,已婚,高等教育,否,否,否,手机,29,八月,161,3,-1,0,未知,否
2134,58,已退休,已婚,中学,否,是,是,手机,17,十一月,100,1,-1,0,未知,否
2135,57,保姆,已婚,高等教育,否,否,否,手机,4,八月,142,2,-1,0,未知,否
2136,34,管理者,已婚,高等教育,否,是,否,未知,8,五月,214,2,-1,0,未知,否
2137,59,蓝领,已婚,小学,否,否,否,手机,18,十一月,167,2,-1,0,未知,否
2138,27,技术人员,单身,中学,否,否,是,手机,9,七月,676,5,-1,0,未知,否
2139,42,企业家,已婚,高等教育,否,否,否,手机,9,七月,236,1,-1,0,未知,否
2140,47,保姆,单身,高等教育,否,否,否,未知,12,六月,993,6,-1,0,未知,是
2141,33,蓝领,已婚,中学,否,是,是,手机,28,七月,83,12,-1,0,未知,否
2142,31,服务业,单身,中学,否,是,否,手机,6,五月,100,1,-1,0,未知,否
2143,37,管理者,已婚,高等教育,否,是,否,手机,2,二月,289,2,174,4,其他,是
2144,29,蓝领,已婚,中学,否,否,是,手机,8,七月,528,2,-1,0,未知,否
2145,38,没工作,已婚,小学,否,否,否,未知,12,六月,340,2,-1,0,未知,否
2146,35,个体户,已婚,中学,否,否,否,手机,21,十一月,33,3,-1,0,未知,否
2147,31,技术人员,单身,中学,否,否,否,座机,17,四月,284,3,-1,0,未知,否
2148,62,管理者,已婚,高等教育,否,否,否,座机,6,八月,245,3,-1,0,未知,是
2149,32,技术人员,单身,高等教育,否,是,否,手机,17,四月,115,1,-1,0,未知,否
2150,31,服务业,已婚,中学,否,是,否,未知,5,五月,730,2,-1,0,未知,否
2151,51,蓝领,离异,小学,否,是,否,手机,11,五月,347,1,284,2,失败,否
2152,29,服务业,单身,中学,否,否,否,手机,17,七月,58,1,-1,0,未知,否
2153,43,蓝领,已婚,小学,否,是,否,手机,17,七月,180,1,-1,0,未知,否
2154,36,蓝领,已婚,中学,否,是,否,未知,2,六月,56,8,-1,0,未知,否
2155,34,个体户,已婚,小学,否,是,否,未知,2,六月,326,3,-1,0,未知,否
2156,29,服务业,已婚,中学,否,是,否,座机,21,七月,342,9,-1,0,未知,否
2157,57,已退休,已婚,中学,否,否,是,手机,2,二月,49,6,-1,0,未知,否
2158,43,管理者,已婚,高等教育,否,否,否,手机,12,八月,110,1,-1,0,未知,否
2159,33,服务业,已婚,中学,否,否,否,手机,12,十一月,253,1,92,4,失败,是
2160,60,管理者,已婚,高等教育,否,否,否,手机,14,八月,636,2,-1,0,未知,否
2161,51,技术人员,已婚,小学,否,否,否,手机,19,八月,137,2,-1,0,未知,否
2162,40,行政,单身,中学,否,否,否,手机,7,七月,173,1,-1,0,未知,否
2163,51,技术人员,已婚,中学,否,是,否,手机,18,七月,227,2,-1,0,未知,否
2164,38,服务业,已婚,中学,否,是,是,未知,19,五月,88,5,-1,0,未知,否
2165,35,技术人员,已婚,中学,否,是,否,未知,2,六月,426,3,-1,0,未知,否
2166,47,技术人员,已婚,中学,否,是,否,座机,18,十一月,195,3,112,8,其他,否
2167,45,蓝领,已婚,小学,否,否,否,手机,18,八月,230,8,-1,0,未知,否
2168,40,服务业,已婚,中学,否,是,否,手机,12,五月,750,2,-1,0,未知,是
2169,29,企业家,单身,中学,否,否,否,手机,30,一月,413,3,-1,0,未知,否
2170,52,管理者,离异,高等教育,否,是,否,未知,4,六月,104,2,-1,0,未知,否
2171,26,技术人员,已婚,中学,否,是,是,手机,5,五月,138,1,-1,0,未知,否
2172,31,蓝领,单身,小学,否,是,否,未知,29,五月,334,2,-1,0,未知,否
2173,55,服务业,已婚,未知,否,是,否,未知,30,五月,868,1,-1,0,未知,否
2174,35,服务业,已婚,中学,否,是,否,座机,14,七月,102,14,-1,0,未知,否
2175,56,管理者,离异,高等教育,否,否,否,未知,28,五月,77,3,-1,0,未知,否
2176,28,蓝领,单身,中学,否,是,否,手机,1,九月,199,1,92,14,成功,是
2177,27,学生,单身,中学,否,是,否,未知,7,五月,332,2,-1,0,未知,否
2178,30,技术人员,已婚,中学,否,否,否,手机,7,八月,124,2,-1,0,未知,否
2179,51,技术人员,已婚,高等教育,否,否,否,手机,25,八月,91,9,-1,0,未知,否
2180,33,管理者,已婚,中学,否,是,否,手机,4,五月,104,3,-1,0,未知,否
2181,32,蓝领,单身,中学,否,是,否,手机,18,五月,125,1,368,4,失败,否
2182,43,企业家,已婚,中学,否,是,否,手机,18,七月,635,3,-1,0,未知,是
2183,46,蓝领,已婚,小学,否,否,是,手机,15,七月,90,1,-1,0,未知,否
2184,32,管理者,已婚,高等教育,否,是,是,手机,25,七月,310,1,-1,0,未知,否
2185,40,服务业,已婚,中学,否,是,否,手机,6,五月,207,1,351,2,失败,否
2186,39,蓝领,已婚,中学,否,否,否,未知,12,六月,43,1,-1,0,未知,否
2187,51,蓝领,已婚,小学,否,否,否,座机,16,七月,126,4,-1,0,未知,否
2188,46,行政,单身,中学,否,是,否,手机,25,一月,137,1,97,1,成功,否
2189,43,蓝领,已婚,小学,否,是,是,未知,15,五月,284,5,-1,0,未知,否
2190,36,技术人员,已婚,高等教育,否,否,否,手机,28,八月,68,6,-1,0,未知,否
2191,48,管理者,已婚,高等教育,否,否,否,手机,18,十一月,67,1,-1,0,未知,否
2192,26,行政,单身,中学,否,是,是,手机,18,五月,8,2,-1,0,未知,否
2193,39,行政,单身,未知,否,是,否,手机,11,五月,62,1,-1,0,未知,否
2194,47,管理者,已婚,高等教育,否,否,是,手机,7,七月,175,1,-1,0,未知,否
2195,23,企业家,单身,小学,否,是,否,未知,13,五月,395,2,-1,0,未知,是
2196,54,管理者,离异,高等教育,否,是,否,手机,11,二月,27,1,84,3,失败,否
2197,38,行政,已婚,中学,否,是,是,未知,6,五月,195,1,-1,0,未知,否
2198,33,技术人员,已婚,中学,否,否,是,手机,4,二月,254,2,-1,0,未知,否
2199,35,行政,离异,中学,否,否,是,手机,8,七月,199,1,-1,0,未知,否
2200,52,服务业,已婚,中学,否,否,否,手机,26,八月,73,17,-1,0,未知,否
2201,25,技术人员,单身,高等教育,否,是,否,未知,14,五月,351,1,-1,0,未知,否
2202,29,管理者,已婚,高等教育,否,是,是,未知,7,五月,1689,4,-1,0,未知,是
2203,35,技术人员,单身,高等教育,否,否,否,手机,21,十一月,267,1,-1,0,未知,否
2204,49,服务业,已婚,中学,否,否,否,未知,5,五月,234,2,-1,0,未知,否
2205,41,行政,离异,中学,否,否,否,手机,26,四月,234,10,-1,0,未知,否
2206,32,管理者,已婚,高等教育,否,否,否,手机,20,八月,94,4,-1,0,未知,否
2207,29,行政,单身,中学,否,是,否,未知,8,五月,77,2,-1,0,未知,否
2208,28,蓝领,已婚,中学,否,是,否,手机,15,五月,242,1,-1,0,未知,否
2209,59,已退休,已婚,中学,否,否,否,手机,18,七月,247,4,-1,0,未知,否
2210,34,企业家,已婚,高等教育,否,否,否,未知,9,六月,85,4,-1,0,未知,否
2211,55,管理者,离异,高等教育,否,否,否,手机,22,八月,607,4,-1,0,未知,否
2212,34,管理者,已婚,高等教育,否,是,否,手机,17,六月,485,2,227,4,失败,是
2213,24,学生,单身,中学,否,否,否,手机,27,十月,184,1,91,2,失败,是
2214,42,技术人员,离异,中学,否,是,否,未知,26,五月,258,1,-1,0,未知,否
2215,34,管理者,单身,未知,否,是,否,手机,16,四月,156,1,147,7,其他,否
2216,34,行政,已婚,中学,否,否,否,未知,21,五月,160,1,-1,0,未知,否
2217,51,个体户,已婚,高等教育,否,否,否,未知,16,六月,1021,1,-1,0,未知,否
2218,58,蓝领,已婚,小学,否,是,否,手机,31,七月,5,25,-1,0,未知,否
2219,44,技术人员,已婚,中学,否,是,否,手机,27,一月,701,1,-1,0,未知,是
2220,33,蓝领,已婚,中学,否,是,是,手机,18,五月,732,2,291,5,失败,是
2221,34,管理者,已婚,高等教育,否,否,否,手机,10,八月,122,1,-1,0,未知,否
2222,34,行政,已婚,中学,否,是,否,未知,7,五月,559,1,-1,0,未知,否
2223,42,蓝领,离异,中学,否,是,是,未知,8,五月,141,1,-1,0,未知,否
2224,46,管理者,单身,高等教育,否,是,否,手机,21,七月,87,4,-1,0,未知,否
2225,31,个体户,单身,高等教育,否,否,否,手机,5,二月,577,1,-1,0,未知,否
2226,39,企业家,已婚,高等教育,否,是,否,手机,11,七月,193,2,-1,0,未知,否
2227,34,管理者,单身,高等教育,否,否,否,手机,28,八月,210,5,-1,0,未知,否
2228,47,技术人员,已婚,中学,否,否,否,手机,6,八月,732,2,-1,0,未知,否
2229,42,服务业,离异,中学,否,是,是,未知,6,五月,121,2,-1,0,未知,否
2230,48,蓝领,单身,中学,否,否,是,手机,21,十一月,150,2,-1,0,未知,否
2231,30,个体户,单身,高等教育,否,否,否,手机,21,十一月,140,1,-1,0,未知,否
2232,38,技术人员,已婚,中学,否,是,否,手机,20,十一月,386,2,-1,0,未知,否
2233,24,服务业,已婚,中学,否,是,否,手机,11,五月,733,2,-1,0,未知,是
2234,34,技术人员,已婚,中学,否,是,否,手机,19,十一月,108,1,-1,0,未知,否
2235,46,管理者,单身,高等教育,否,否,是,手机,17,十一月,80,1,152,1,失败,否
2236,32,行政,离异,中学,是,是,否,未知,12,五月,155,3,-1,0,未知,否
2237,46,服务业,已婚,中学,否,是,是,手机,13,五月,389,4,-1,0,未知,否
2238,26,个体户,已婚,高等教育,否,是,否,手机,9,二月,133,3,-1,0,未知,否
2239,42,蓝领,已婚,中学,否,是,否,手机,21,十一月,328,6,-1,0,未知,否
2240,50,技术人员,已婚,中学,否,是,否,手机,23,七月,119,2,-1,0,未知,否
2241,41,蓝领,已婚,小学,否,是,否,未知,16,六月,87,6,-1,0,未知,否
2242,34,行政,单身,中学,否,否,是,手机,18,十一月,162,1,173,3,失败,否
2243,32,服务业,已婚,中学,否,是,否,未知,15,五月,294,2,-1,0,未知,否
2244,58,保姆,单身,高等教育,否,是,是,手机,16,七月,128,2,-1,0,未知,否
2245,45,技术人员,已婚,中学,否,是,否,手机,6,五月,108,1,-1,0,未知,否
2246,28,行政,单身,中学,否,是,是,手机,6,二月,172,2,-1,0,未知,否
2247,35,技术人员,已婚,中学,否,是,是,未知,14,五月,208,5,-1,0,未知,否
2248,39,服务业,已婚,中学,否,是,否,未知,20,五月,212,2,-1,0,未知,否
2249,49,没工作,离异,高等教育,否,否,否,手机,8,十一月,148,1,871,2,失败,否
2250,50,管理者,已婚,高等教育,否,是,否,手机,4,二月,99,1,-1,0,未知,否
2251,37,管理者,已婚,高等教育,否,否,否,手机,3,二月,185,1,92,1,成功,是
2252,45,蓝领,已婚,小学,否,否,否,手机,6,八月,133,2,-1,0,未知,否
2253,30,保姆,单身,中学,否,否,否,手机,6,二月,170,1,-1,0,未知,否
2254,48,没工作,已婚,高等教育,否,是,否,未知,19,五月,668,7,-1,0,未知,否
2255,36,管理者,单身,高等教育,否,是,否,手机,8,五月,81,3,170,1,失败,否
2256,41,管理者,单身,中学,否,否,否,手机,12,六月,230,2,-1,0,未知,否
2257,55,蓝领,已婚,中学,否,否,否,未知,5,五月,287,1,-1,0,未知,否
2258,70,已退休,已婚,小学,否,否,否,手机,16,三月,618,1,-1,0,未知,否
2259,41,管理者,已婚,高等教育,否,是,否,手机,5,五月,788,1,-1,0,未知,是
2260,47,服务业,离异,中学,否,否,否,手机,6,二月,285,6,-1,0,未知,否
2261,34,技术人员,单身,中学,否,否,否,手机,21,八月,163,2,-1,0,未知,否
2262,33,管理者,单身,高等教育,否,否,否,手机,8,七月,159,1,-1,0,未知,否
2263,58,已退休,已婚,中学,否,是,否,手机,12,五月,197,2,370,3,失败,否
2264,51,管理者,已婚,高等教育,否,否,否,手机,25,七月,212,2,-1,0,未知,否
2265,45,管理者,已婚,高等教育,否,是,否,未知,29,五月,44,15,-1,0,未知,否
2266,55,行政,已婚,中学,否,否,否,手机,23,九月,180,2,238,3,成功,否
2267,30,蓝领,单身,小学,否,否,否,未知,26,六月,11,1,-1,0,未知,否
2268,33,管理者,单身,中学,否,是,否,未知,26,五月,863,1,-1,0,未知,否
2269,27,服务业,单身,中学,否,是,否,未知,7,五月,388,7,-1,0,未知,否
2270,59,已退休,已婚,中学,否,是,否,未知,5,五月,143,3,-1,0,未知,否
2271,34,管理者,单身,高等教育,否,是,否,手机,7,五月,191,1,294,1,失败,否
2272,47,技术人员,离异,高等教育,否,是,是,未知,27,五月,62,2,-1,0,未知,否
2273,44,蓝领,已婚,小学,否,是,否,未知,9,五月,13,1,-1,0,未知,否
2274,35,行政,单身,中学,否,是,否,手机,13,五月,1073,1,-1,0,未知,是
2275,45,管理者,已婚,高等教育,否,是,否,手机,6,五月,337,2,-1,0,未知,否
2276,42,蓝领,已婚,小学,否,是,是,座机,31,七月,88,10,-1,0,未知,否
2277,38,技术人员,已婚,中学,否,否,否,手机,2,六月,167,1,298,10,其他,否
2278,34,技术人员,单身,中学,否,否,否,手机,29,八月,96,4,-1,0,未知,否
2279,35,技术人员,已婚,中学,否,是,否,手机,13,四月,537,3,-1,0,未知,否
2280,29,管理者,单身,中学,否,是,否,未知,27,五月,5,3,-1,0,未知,否
2281,58,已退休,已婚,中学,否,否,否,手机,5,八月,139,1,-1,0,未知,否
2282,44,蓝领,单身,小学,否,是,否,未知,30,五月,570,2,-1,0,未知,否
2283,45,企业家,已婚,高等教育,否,是,否,手机,29,七月,100,3,-1,0,未知,否
2284,43,蓝领,已婚,中学,否,是,否,未知,15,五月,253,2,-1,0,未知,否
2285,44,服务业,已婚,中学,否,是,否,手机,1,四月,525,2,-1,0,未知,否
2286,30,技术人员,单身,中学,否,否,否,手机,20,八月,696,3,-1,0,未知,否
2287,38,没工作,已婚,高等教育,否,否,否,未知,26,五月,535,6,-1,0,未知,否
2288,50,技术人员,已婚,中学,否,否,否,手机,6,八月,131,3,-1,0,未知,否
2289,21,学生,单身,中学,否,否,否,未知,20,八月,6,1,-1,0,未知,否
2290,38,企业家,已婚,高等教育,否,是,否,手机,5,二月,105,1,-1,0,未知,否
2291,42,行政,已婚,中学,否,否,否,未知,19,六月,370,1,-1,0,未知,否
2292,45,技术人员,单身,高等教育,否,否,否,手机,29,八月,29,14,-1,0,未知,否
2293,34,企业家,已婚,中学,否,是,是,手机,5,五月,184,1,167,6,失败,否
2294,48,技术人员,已婚,中学,否,否,是,手机,3,二月,47,2,222,3,其他,否
2295,34,服务业,已婚,中学,否,否,是,未知,2,七月,193,4,-1,0,未知,否
2296,32,蓝领,已婚,中学,否,是,否,手机,16,七月,709,2,-1,0,未知,是
2297,35,技术人员,已婚,高等教育,否,否,否,手机,6,八月,358,2,-1,0,未知,否
2298,39,企业家,已婚,高等教育,否,是,否,未知,20,五月,253,1,-1,0,未知,否
2299,36,个体户,已婚,高等教育,否,是,否,未知,6,六月,197,3,-1,0,未知,否
2300,35,技术人员,已婚,中学,否,否,否,手机,22,八月,94,2,-1,0,未知,否
2301,57,服务业,离异,中学,否,否,是,手机,22,七月,445,2,-1,0,未知,否
2302,28,技术人员,单身,中学,否,是,否,手机,15,五月,153,1,371,2,失败,否
2303,43,行政,已婚,未知,否,否,否,未知,18,六月,113,1,-1,0,未知,否
2304,57,管理者,已婚,中学,否,否,否,手机,17,八月,80,1,-1,0,未知,否
2305,34,服务业,离异,中学,否,是,否,未知,15,五月,318,1,-1,0,未知,否
2306,36,技术人员,已婚,高等教育,否,是,否,手机,27,一月,100,1,435,1,失败,否
2307,47,管理者,离异,高等教育,否,否,否,未知,20,六月,40,3,-1,0,未知,否
2308,36,管理者,离异,高等教育,否,是,否,未知,2,六月,55,25,-1,0,未知,否
2309,33,管理者,已婚,高等教育,否,否,否,手机,20,十一月,67,1,-1,0,未知,否
2310,57,管理者,已婚,高等教育,否,否,否,手机,7,八月,76,2,-1,0,未知,否
2311,57,管理者,已婚,高等教育,否,是,否,未知,16,五月,73,1,-1,0,未知,否
2312,34,行政,已婚,中学,否,是,否,未知,20,五月,89,2,-1,0,未知,否
2313,51,保姆,离异,高等教育,否,是,否,手机,19,八月,109,3,-1,0,未知,否
2314,54,蓝领,离异,小学,否,否,否,手机,9,七月,98,1,-1,0,未知,否
2315,52,个体户,单身,高等教育,否,是,否,未知,5,六月,21,17,-1,0,未知,否
2316,43,企业家,已婚,高等教育,否,是,否,手机,18,十一月,465,1,-1,0,未知,否
2317,58,已退休,单身,小学,否,否,否,手机,21,七月,106,3,-1,0,未知,否
2318,53,行政,已婚,中学,否,是,否,手机,20,四月,304,1,340,1,失败,否
2319,44,管理者,已婚,中学,否,否,否,手机,30,七月,342,3,-1,0,未知,否
2320,29,管理者,单身,高等教育,否,否,否,未知,16,五月,16,25,-1,0,未知,否
2321,27,服务业,单身,中学,否,是,否,未知,28,五月,543,2,-1,0,未知,是
2322,35,蓝领,已婚,小学,否,否,否,手机,8,七月,338,3,-1,0,未知,否
2323,40,个体户,已婚,中学,否,否,否,手机,22,八月,197,5,-1,0,未知,否
2324,34,蓝领,已婚,中学,否,是,是,未知,8,五月,956,2,-1,0,未知,否
2325,38,行政,单身,中学,否,是,否,手机,12,五月,95,1,327,9,其他,否
2326,32,服务业,已婚,中学,否,是,否,未知,15,五月,546,9,-1,0,未知,否
2327,41,行政,已婚,中学,否,是,是,未知,30,五月,124,4,-1,0,未知,否
2328,25,蓝领,单身,中学,否,是,否,手机,7,七月,113,4,-1,0,未知,否
2329,38,蓝领,离异,中学,否,是,否,手机,7,五月,245,3,-1,0,未知,否
2330,26,技术人员,单身,中学,否,是,否,手机,22,七月,188,2,-1,0,未知,否
2331,37,技术人员,单身,高等教育,否,否,否,手机,19,八月,199,5,-1,0,未知,否
2332,30,管理者,已婚,高等教育,否,是,否,手机,5,四月,470,7,426,3,其他,是
2333,36,服务业,已婚,中学,否,否,否,未知,14,五月,90,1,-1,0,未知,否
2334,33,管理者,已婚,中学,否,是,否,未知,23,五月,350,5,-1,0,未知,否
2335,33,行政,单身,高等教育,否,是,否,手机,7,五月,31,1,363,2,失败,否
2336,35,管理者,已婚,高等教育,否,是,否,手机,9,七月,156,1,-1,0,未知,否
2337,24,服务业,已婚,高等教育,否,是,否,未知,27,五月,299,1,-1,0,未知,否
2338,29,没工作,已婚,中学,否,否,否,手机,30,一月,510,2,-1,0,未知,否
2339,54,蓝领,已婚,中学,否,是,否,手机,25,八月,177,4,-1,0,未知,否
2340,27,行政,已婚,中学,否,否,否,手机,13,十月,123,2,-1,0,未知,否
2341,34,管理者,已婚,中学,否,否,否,手机,2,二月,270,1,-1,0,未知,否
2342,39,蓝领,已婚,小学,否,是,否,未知,16,五月,225,4,-1,0,未知,否
2343,38,管理者,已婚,高等教育,否,否,否,手机,28,一月,63,1,-1,0,未知,否
2344,37,管理者,已婚,高等教育,否,是,否,未知,3,六月,247,13,-1,0,未知,否
2345,26,服务业,单身,中学,否,是,是,手机,30,一月,206,5,239,3,失败,否
2346,36,企业家,已婚,高等教育,否,是,否,未知,6,五月,168,2,-1,0,未知,否
2347,35,管理者,单身,高等教育,否,是,否,未知,21,五月,836,12,-1,0,未知,否
2348,30,管理者,单身,高等教育,否,否,否,手机,8,八月,131,2,-1,0,未知,否
2349,25,技术人员,单身,中学,否,是,是,未知,3,六月,89,1,-1,0,未知,否
2350,34,技术人员,已婚,中学,否,是,否,手机,29,八月,116,4,-1,0,未知,否
2351,52,未知,已婚,未知,否,否,否,未知,12,六月,58,1,-1,0,未知,否
2352,39,行政,已婚,中学,否,否,否,未知,6,九月,36,1,-1,0,未知,否
2353,34,管理者,已婚,中学,否,是,否,手机,21,七月,240,2,-1,0,未知,否
2354,34,管理者,单身,中学,否,否,否,手机,22,八月,132,4,-1,0,未知,否
2355,30,服务业,已婚,中学,否,是,是,手机,17,七月,544,1,-1,0,未知,否
2356,33,服务业,已婚,中学,否,是,是,未知,8,五月,266,1,-1,0,未知,否
2357,30,学生,单身,中学,否,否,否,手机,4,二月,443,2,-1,0,未知,否
2358,51,蓝领,已婚,小学,否,是,否,手机,10,七月,324,1,-1,0,未知,否
2359,36,服务业,单身,中学,否,是,否,手机,6,二月,15,10,207,3,失败,否
2360,48,蓝领,已婚,小学,否,否,否,手机,28,一月,263,2,-1,0,未知,否
2361,37,服务业,离异,中学,否,是,否,未知,11,六月,199,1,-1,0,未知,否
2362,58,管理者,已婚,中学,否,是,否,手机,29,七月,145,2,-1,0,未知,否
2363,56,管理者,离异,高等教育,否,否,是,手机,2,六月,56,1,-1,0,未知,否
2364,34,蓝领,已婚,中学,否,是,否,手机,5,五月,11,9,-1,0,未知,否
2365,33,行政,离异,中学,否,是,否,手机,18,十一月,411,1,173,2,其他,否
2366,26,服务业,单身,中学,否,否,否,手机,29,七月,165,23,-1,0,未知,否
2367,40,管理者,单身,未知,否,是,否,未知,12,五月,619,3,-1,0,未知,否
2368,35,服务业,已婚,中学,否,是,否,手机,17,四月,203,1,-1,0,未知,否
2369,45,企业家,已婚,中学,否,是,否,未知,7,五月,254,1,-1,0,未知,否
2370,37,技术人员,单身,中学,否,是,否,手机,13,八月,1149,6,-1,0,未知,是
2371,35,管理者,离异,高等教育,否,是,否,未知,9,五月,189,1,-1,0,未知,否
2372,43,服务业,单身,中学,否,是,否,手机,12,十一月,707,2,97,2,成功,是
2373,28,蓝领,已婚,中学,否,是,否,手机,15,五月,196,1,-1,0,未知,否
2374,32,蓝领,离异,中学,否,是,否,未知,9,五月,171,1,-1,0,未知,否
2375,26,没工作,单身,中学,否,否,否,手机,28,一月,1451,2,-1,0,未知,是
2376,35,服务业,已婚,中学,否,是,否,未知,2,六月,563,1,-1,0,未知,是
2377,35,技术人员,单身,中学,否,否,否,手机,11,八月,239,4,-1,0,未知,否
2378,39,蓝领,已婚,中学,否,是,否,座机,28,七月,73,6,-1,0,未知,否
2379,42,蓝领,离异,中学,否,是,否,手机,6,五月,203,2,334,2,失败,否
2380,32,技术人员,单身,中学,否,是,否,手机,6,五月,158,1,167,1,成功,否
2381,30,没工作,已婚,中学,否,否,否,手机,9,七月,100,4,-1,0,未知,否
2382,26,管理者,单身,高等教育,否,否,是,手机,8,七月,160,1,-1,0,未知,否
2383,30,学生,单身,中学,否,是,否,手机,19,十一月,661,1,-1,0,未知,否
2384,32,管理者,已婚,高等教育,否,是,否,手机,14,五月,166,1,-1,0,未知,否
